Period,sales
1-Jul-16,60041
1-Aug-16,58692
1-Sep-16,57436
1-Oct-16,58799
1-Nov-16,58916
1-Dec-16,64663
1-Jan-17,57276
1-Feb-17,54148
1-Mar-17,59772
1-Apr-17,59082
1-May-17,61255
1-Jun-17,59818
1-Jul-17,60846
1-Aug-17,60636
1-Sep-17,59417
